,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
73,Santa Fe,0,AR,1569645129,58,-31.62,-60.7,66.0,4.0
74,Diffa,0,NE,1569645130,28,13.32,12.61,82.46,7.76
75,Aksha,13,RU,1569645132,28,50.28,113.29,51.36,12.1
76,Constitucion,100,MX,1569645133,87,23.99,-104.67,58.22,0.63
77,Pisco,90,PE,1569644737,82,-13.71,-76.2,62.6,11.41
78,Inhambane,40,MZ,1569645135,88,-23.87,35.38,66.2,16.11
79,Jamestown,15,AU,1569644662,31,-33.21,138.6,67.68,6.85
80,Neklyudovo,70,RU,1569645138,76,54.88,41.31,45.1,2.57
81,Atuona,12,PF,1569644557,75,-9.8,-139.03,79.74,14.97
82,New Norfolk,75,AU,1569644536,38,-42.78,147.06,60.8,19.46
83,Vestmannaeyjar,17,IS,1569644739,87,63.44,-20.27,48.6,1.1
84,Tete,20,MZ,1569645143,66,-16.16,33.59,51.8,3.36
85,Kapaa,40,US,1569645145,78,22.08,-159.32,84.2,9.17
86,Cidreira,100,BR,1569645146,72,-30.17,-50.22,58.07,11.36
87,Pochutla,5,MX,1569645147,65,15.74,-96.47,78.8,1.72
88,Buraydah,0,SA,1569645149,44,26.33,43.97,78.8,6.04
89,Yangcun,0,CN,1569645150,67,29.98,118.17,81.0,1.28
90,Nanakuli,20,US,1569645151,74,21.39,-158.15,84.2,5.82
91,Esperance,90,AU,1569645153,72,-33.86,121.89,66.2,8.05
92,Port Alfred,0,ZA,1569644740,91,-33.59,26.89,66.0,1.01
93,Hilo,1,US,1569644741,66,19.71,-155.08,84.2,4.7
94,Tucurui,80,BR,1569645156,92,-3.77,-49.67,75.06,4.68
95,Samarai,76,PG,1569645158,93,-10.62,150.67,76.92,7.65
96,Taoudenni,30,ML,1569645159,10,22.68,-3.98,88.35,6.15
97,Atar,100,MR,1569644742,18,20.52,-13.05,92.7,6.93
98,La Palma,97,CO,1569645162,96,5.36,-74.39,67.85,2.55
99,Vallenar,0,CL,1569645163,88,-28.58,-70.76,43.26,0.92
100,San Carlos de Bariloche,75,AR,1569645164,76,-41.13,-71.31,48.2,19.46
101,Caravelas,64,BR,1569645166,88,-17.73,-39.27,73.3,6.85
102,Haicheng,0,CN,1569645167,44,40.85,122.74,77.91,14.63
103,Kendari,59,ID,1569644744,57,-3.99,122.52,86.04,5.59
104,Tual,40,ID,1569645169,78,-5.67,132.75,78.94,14.25
105,Alofi,26,NU,1569645171,73,-19.06,-169.92,77.0,14.99
106,Dongsheng,0,CN,1569645172,27,29.72,112.52,89.54,4.07
107,Marawi,71,PH,1569645173,76,8.0,124.29,86.0,7.0
108,Lebu,90,ET,1569644900,93,8.96,38.73,55.4,2.24
109,Nybro,100,SE,1569645176,100,56.75,15.91,54.0,3.36
110,Victoria,75,BN,1569645178,66,5.28,115.24,89.6,3.36
111,Necochea,93,AR,1569645179,91,-38.55,-58.74,46.34,15.17
112,Lac-Megantic,90,CA,1569645180,93,45.58,-70.88,51.8,5.23
113,Labytnangi,28,RU,1569645182,80,66.66,66.39,25.37,4.47
114,Palatka,49,RU,1569645183,78,60.1,150.94,27.76,7.76
115,Castro,90,CL,1569644606,100,-42.48,-73.76,48.2,16.11
116,Parrita,75,CR,1569645186,100,9.52,-84.33,68.0,1.12
117,Khatanga,93,RU,1569644747,71,71.98,102.47,32.76,3.42
118,Arkhara,21,RU,1569645188,51,49.42,130.09,76.22,11.61
119,Sao Desiderio,100,BR,1569645189,43,-12.36,-44.97,76.74,2.21
120,Siparia,20,TT,1569645191,88,10.14,-61.51,78.01,10.47
121,Hambantota,90,LK,1569645192,100,6.12,81.12,77.0,2.24
122,Antofagasta,90,CL,1569645193,76,-23.65,-70.4,57.2,5.82
123,Krasnyy Chikoy,14,RU,1569645195,44,50.36,108.75,52.17,6.73
124,Avarua,28,CK,1569645196,73,-21.21,-159.78,73.4,8.05
125,Tarko-Sale,100,RU,1569645198,94,64.92,77.78,36.0,7.45
126,Laguna,90,BZ,1569645199,88,16.17,-88.94,77.0,1.39
127,Tiarei,75,PF,1569645201,74,-17.53,-149.33,82.4,10.29
128,Namibe,65,AO,1569645202,89,-15.19,12.15,69.09,14.07
129,Praia da Vitoria,20,PT,1569645203,83,38.73,-27.07,71.6,14.2
130,Waipawa,0,NZ,1569645204,69,-39.94,176.59,54.0,5.99
131,Abonnema,40,NG,1569645206,94,4.71,6.79,73.4,2.08
132,Bowen,8,AU,1569645207,48,-20.01,148.25,84.2,10.29
133,Springbok,27,ZA,1569645209,17,-29.67,17.88,76.38,2.98
134,Hobyo,41,SO,1569645210,40,5.35,48.53,87.43,14.23
135,Port Elizabeth,1,US,1569645211,93,39.31,-74.98,71.01,5.39
136,Trincomalee,100,LK,1569645213,57,8.58,81.23,87.61,6.38
137,Leshukonskoye,75,RU,1569645214,89,64.9,45.76,38.45,7.0
138,Mangan,100,IN,1569645215,91,27.5,88.54,55.97,0.51
139,Lavrentiya,100,RU,1569645217,98,65.58,-170.99,39.68,5.35
140,Menongue,64,AO,1569645218,25,-14.66,17.68,62.56,6.17
141,Ribeira Grande,1,PT,1569645219,87,38.52,-28.7,72.85,19.98
142,Puerto Ayora,0,EC,1569644752,86,-0.74,-90.35,69.01,5.01
143,Upernavik,25,GL,1569645222,73,72.79,-56.15,41.17,10.11
144,Lorengau,65,PG,1569645223,75,-2.02,147.27,83.65,7.29
145,Tuatapere,99,NZ,1569645225,85,-46.13,167.69,53.01,17.0
146,Lucapa,83,AO,1569645226,63,-8.42,20.74,75.73,1.05
147,Najran,0,SA,1569645023,69,17.54,44.22,75.2,2.24
148,Altamira,0,BR,1569645228,91,-3.2,-52.21,72.71,2.28
149,Ilulissat,0,GL,1569645230,45,69.22,-51.1,46.4,18.34
150,Davila,20,PH,1569645231,74,18.47,120.58,87.8,6.93
151,Hualmay,74,PE,1569645232,91,-11.1,-77.61,60.43,12.41
152,Dikson,94,RU,1569645183,78,73.51,80.55,34.33,10.74
153,Kostelec nad Labem,0,CZ,1569645235,93,50.23,14.59,54.0,9.17
154,Ancud,90,CL,1569645236,100,-41.87,-73.83,48.2,16.11
155,Xuddur,11,SO,1569645238,50,4.12,43.89,82.68,16.84
156,Rocha,97,UY,1569645146,95,-34.48,-54.34,46.1,7.85
157,Afsin,0,TR,1569645240,57,38.25,36.91,57.75,4.52
158,Bathsheba,75,BB,1569645241,78,13.22,-59.52,80.6,16.11
159,Mayo,20,CA,1569645243,74,63.59,-135.9,30.2,3.36
160,Saint-Paul,90,FR,1569645244,93,45.22,1.9,57.0,1.12
161,Pervomayskoye,100,RU,1569645245,87,57.07,86.23,40.52,5.3
162,Kota Kinabalu,75,MY,1569645247,75,5.98,116.07,89.6,6.93
163,Eldorado,68,BR,1569645248,99,-24.52,-48.11,54.02,1.01
164,Toamasina,75,MG,1569644758,88,-18.17,49.38,71.6,6.93
165,Madimba,75,CM,1569645250,100,4.42,9.93,73.4,0.98
166,Veraval,75,FR,1569645252,93,49.65,0.71,57.2,13.87
167,Ostrovnoy,95,RU,1569645253,83,68.05,39.51,43.2,17.92
168,Dingle,99,PH,1569645254,72,11.0,122.67,85.72,5.99
169,Kasempa,41,ZM,1569645256,34,-13.46,25.83,65.45,8.25
170,Sangar,0,RU,1569645257,59,63.92,127.47,41.21,12.59
171,Kodiak,90,US,1569645258,88,39.95,-94.76,71.6,14.99
172,Alyangula,100,AU,1569645260,62,-13.85,136.42,86.0,17.22
173,Leningradskiy,100,RU,1569645261,94,69.38,178.42,39.93,4.23
174,Beringovskiy,100,RU,1569645262,97,63.05,179.32,41.4,2.04
175,Thinadhoo,82,MV,1569645264,78,0.53,72.93,82.35,17.47
176,Riyadh,0,SA,1569645265,39,24.63,46.72,82.4,2.24
177,Jinxiang,0,CN,1569645266,30,35.07,116.31,86.14,5.79
178,Opuwo,6,NA,1569645268,23,-18.06,13.84,68.5,5.21
179,Ponta do Sol,1,BR,1569645269,76,-20.63,-46.0,60.61,4.85
180,Severo-Kurilsk,0,RU,1569644761,85,50.68,156.12,46.8,14.97
181,San Vicente,20,EC,1569645276,78,-0.59,-80.41,73.4,6.93
182,Karratha,100,AU,1569645277,14,-20.74,116.85,89.1,10.6
183,Aktau,0,KZ,1569645279,35,43.65,51.16,57.2,8.95
184,Faya,40,SA,1569645280,68,18.39,42.45,66.2,6.93
185,Bay Roberts,90,CA,1569645282,93,47.58,-53.28,54.0,19.46
186,Nantucket,1,US,1569645283,93,41.28,-70.1,61.0,4.7
187,Oksfjord,100,NO,1569645284,100,70.24,22.35,41.0,1.12
188,Kilifi,75,KE,1569645286,62,-3.63,39.85,78.99,11.21
189,Dongying,0,CN,1569645287,27,37.43,118.67,87.63,6.93
190,Sept-Iles,5,CA,1569644480,93,50.2,-66.38,42.01,3.36
191,Ritchie,0,ZA,1569645290,31,-29.03,24.6,48.2,5.82
192,Trairi,74,BR,1569645291,78,-3.28,-39.27,75.71,7.85
193,Tabuny,16,RU,1569645292,43,52.78,78.79,49.83,14.7
194,Escanaba,90,US,1569645155,93,45.75,-87.06,57.2,5.82
195,Chokurdakh,55,RU,1569645295,71,70.62,147.9,30.79,5.44
196,Balkhash,20,KZ,1569645296,55,46.84,74.98,60.8,17.9
197,Coquimbo,0,CL,1569645298,81,-29.95,-71.34,50.0,5.82
198,Paamiut,0,GL,1569645299,82,61.99,-49.67,41.28,1.39
199,Buala,14,SB,1569645300,80,-8.15,159.59,82.19,10.22
200,Arawa,17,ID,1569645302,75,-3.93,119.75,81.42,16.08
201,Olginskaya,100,RU,1569645303,81,45.94,38.55,60.99,9.26
202,Carthage,1,US,1569645285,78,32.16,-94.34,80.6,7.7
203,Kieta,0,PG,1569645306,73,-6.22,155.63,84.05,7.99
204,Fukue,75,JP,1569645307,61,35.03,136.69,86.0,13.87
205,Pevek,100,RU,1569645308,96,69.7,170.27,36.29,17.67
206,Isangel,40,VU,1569645310,61,-19.55,169.27,78.8,16.11
207,Hithadhoo,71,MV,1569645311,79,-0.6,73.08,81.92,19.77
208,East London,75,ZA,1569644769,72,-33.02,27.91,62.6,14.99
209,Sistranda,0,NO,1569645314,66,63.73,8.83,54.0,18.34
210,Mar del Plata,5,AR,1569645208,37,-46.43,-67.52,55.25,17.31
211,Batsfjord,75,NO,1569645316,83,70.63,29.72,41.17,20.62
212,Tuktoyaktuk,75,CA,1569645317,73,69.44,-133.03,35.6,9.17
213,Ketchikan,1,US,1569645319,81,55.34,-131.65,53.6,5.82
214,Tura,91,RU,1569645320,57,64.27,100.22,37.08,5.3
215,Darnah,0,LY,1569645321,76,32.77,22.64,75.25,5.26
216,Soe,12,EE,1569645323,100,57.91,26.05,39.99,3.36
217,Kathmandu,75,NP,1569645324,83,27.71,85.32,69.8,6.93
218,Vanavara,75,RU,1569645325,57,60.35,102.28,39.46,5.06
219,Port Lincoln,48,AU,1569645327,67,-34.72,135.86,54.13,8.9
220,Sarakhs,0,TM,1569645328,56,36.54,61.16,73.4,11.41
221,Kuala Terengganu,75,MY,1569645329,70,5.33,103.14,87.8,8.05
222,Mahebourg,40,MU,1569645331,69,-20.41,57.7,75.99,12.75
223,Saldanha,17,PT,1569645332,77,41.42,-6.55,53.56,2.33
224,Lompoc,90,US,1569645126,88,34.64,-120.46,68.0,5.82
225,Ylojarvi,0,FI,1569645335,100,61.56,23.6,36.0,1.12
226,Lima,90,PE,1569645073,82,-12.06,-77.04,62.6,10.29
227,Havre-Saint-Pierre,20,CA,1569645337,93,50.23,-63.6,41.0,4.7
228,Kanniyakumari,63,IN,1569645339,74,8.08,77.57,81.1,6.87
229,Khani,90,GE,1569645340,100,41.96,42.96,62.6,4.7
230,Coahuayana,83,MX,1569645341,96,18.62,-100.35,71.97,1.92
231,Tiksi,92,RU,1569645343,74,71.64,128.87,33.11,13.8
232,Kita,75,JP,1569645344,61,35.76,139.74,86.0,11.41
233,Mamallapuram,40,IN,1569645151,70,12.63,80.17,87.8,4.7
234,Baraboo,90,US,1569645236,100,43.47,-89.74,60.8,7.07
235,Arona,40,IT,1569645348,100,45.76,8.56,66.99,3.36
236,Yaan,99,NG,1569645349,93,7.38,8.57,73.73,7.58
237,Tanout,0,NE,1569645350,14,14.97,8.88,86.71,6.89
238,Grindavik,0,IS,1569645352,87,63.84,-22.43,44.6,14.99
239,Nikolskoye,90,RU,1569645353,93,59.7,30.79,46.0,2.24
240,Katsuura,75,JP,1569645354,65,33.93,134.5,84.0,6.93
241,Lazaro Cardenas,20,MX,1569645355,56,28.39,-105.62,73.99,5.82
242,Camopi,21,GF,1569645357,99,3.17,-52.33,72.15,3.0
243,Baherden,0,TM,1569645358,39,38.44,57.43,72.13,8.05
244,Sao Filipe,44,CV,1569645360,83,14.9,-24.5,77.48,10.2
245,Zhangjiakou,4,CN,1569645361,35,40.77,114.88,68.94,12.97
246,Basco,75,US,1569645362,100,40.33,-91.2,68.0,5.82
247,Vardo,1,US,1569645363,64,39.62,-77.74,70.0,10.29
248,Puerto Escondido,96,MX,1569645365,96,15.86,-97.07,75.35,10.94
249,Kokomo,1,US,1569645366,88,40.49,-86.13,73.99,10.29
250,Tazovskiy,100,RU,1569645367,88,67.47,78.7,35.07,6.64
251,Cherskiy,100,RU,1569645185,98,68.75,161.3,33.36,4.03
252,Yumen,40,CN,1569645370,9,40.29,97.04,83.51,14.05
253,Jiexiu,0,CN,1569645372,34,37.02,111.92,73.77,7.74
254,Sao Joao da Barra,45,BR,1569645373,94,-21.64,-41.05,64.03,2.08
255,Blarney,40,IE,1569645374,93,51.93,-8.57,55.99,16.11
256,Burnie,72,AU,1569645375,64,-41.05,145.91,51.38,8.48
257,Nanortalik,0,GL,1569645377,80,60.14,-45.24,39.64,1.9
258,Guanica,1,PR,1569645378,88,17.97,-66.91,81.0,3.36
259,Kochki,65,RU,1569645380,54,54.33,80.49,48.55,14.18
260,Camacupa,78,AO,1569645381,59,-12.02,17.48,65.56,7.7
261,Yueyang,0,CN,1569645382,24,29.36,113.12,91.05,1.52
262,Yatou,75,CM,1569645384,100,3.63,9.81,73.4,14.07
263,Bogorodskoye,17,RU,1569645385,72,52.37,140.44,62.79,8.63
264,Sibolga,5,ID,1569645387,78,1.74,98.78,82.1,11.23
265,Djenne,55,ML,1569645388,62,13.91,-4.55,81.2,9.62
266,Baruun-Urt,0,MN,1569645224,23,46.68,113.28,57.17,4.23
267,Nelson Bay,40,AU,1569645391,55,-32.72,152.14,66.99,18.34
268,Hasaki,75,JP,1569645392,65,35.73,140.83,88.0,6.93
269,Kavieng,100,PG,1569645394,70,-2.57,150.8,84.87,9.04
270,Souris,5,CA,1569645395,87,46.36,-62.25,55.99,5.82
271,Vondrozo,82,MG,1569645396,78,-22.82,47.32,69.54,6.11
272,Mount Isa,46,AU,1569645398,9,-20.73,139.49,93.2,9.17
273,Olinala,3,MX,1569645399,92,17.83,-98.85,66.69,1.97
274,Puerto Leguizamo,92,CO,1569645400,98,-0.19,-74.78,71.61,2.1
275,Shunyi,0,CN,1569645402,50,40.13,116.65,91.0,2.24
276,Saint-Leu,97,RE,1569645403,65,-21.15,55.28,79.0,2.24
277,Arraial do Cabo,11,BR,1569645404,87,-22.97,-42.02,68.93,11.92
278,Mezen,99,RU,1569645406,92,65.85,44.24,40.54,12.06
279,Nioro,54,GM,1569645407,96,13.79,-15.05,75.16,10.4
280,Broome,8,GB,1569645409,93,52.47,1.45,54.0,11.41
281,Tazmalt,0,DZ,1569645410,82,36.39,4.4,64.4,4.7
282,Qasigiannguit,0,GL,1569645411,45,68.82,-51.19,46.4,18.34
283,Kavaratti,20,IN,1569645413,79,10.57,72.64,84.2,5.68
284,Nuuk,0,GL,1569645414,93,64.17,-51.74,35.6,4.7
285,Torbay,90,CA,1569645415,93,47.66,-52.73,54.0,19.46
286,Trinidad,25,BO,1569645416,42,-14.83,-64.9,71.43,1.52
287,Qingquan,54,CN,1569645418,44,34.7,106.0,69.45,11.97
288,Faanui,7,PF,1569645420,83,-16.48,-151.75,79.26,13.04
289,Hammerfest,75,NO,1569645421,93,70.66,23.68,41.0,9.17
290,Palmer,0,AU,1569645422,47,-34.85,139.16,61.0,13.87
291,Rolla,1,US,1569645317,69,37.95,-91.77,77.0,10.29
292,Tezu,3,IN,1569645425,50,27.93,96.16,86.39,3.11
293,Nenjiang,67,CN,1569645427,51,49.17,125.23,71.68,12.62
294,Pocatello,75,US,1569645429,37,42.87,-112.44,55.99,4.9
295,Aloleng,75,PH,1569645236,70,16.13,119.78,84.8,6.69
296,Camapua,46,BR,1569645432,61,-19.53,-54.04,68.39,9.42
297,Balsas,68,BR,1569645433,67,-7.53,-46.04,77.51,1.03
298,Vila Velha,75,BR,1569645434,78,-3.71,-38.6,78.8,12.75
299,Muyezerskiy,48,RU,1569645436,88,63.93,31.65,42.16,3.31
300,Grandview,40,US,1569645437,40,38.89,-94.53,75.0,5.82
301,Narbonne,0,FR,1569645438,77,43.18,3.0,69.01,2.24
302,Kongolo,79,CD,1569645439,68,-5.39,27.0,78.14,1.48
303,Matay,0,EG,1569645441,76,28.42,30.79,73.82,13.27
304,North Bend,90,US,1569645442,82,43.41,-124.22,57.2,4.7
305,Zhigansk,85,RU,1569645443,71,66.77,123.37,37.52,3.71
306,Bagdarin,0,RU,1569645445,31,54.44,113.59,41.19,8.01
307,Lodja,100,CD,1569645446,75,-3.52,23.6,76.5,2.26
308,Vaitape,7,PF,1569645447,83,-16.52,-151.75,79.26,13.04
309,Bandar,75,BD,1569645448,79,22.29,91.78,87.8,2.91
310,Nizza Monferrato,20,IT,1569645450,100,44.77,8.35,71.6,1.45
311,Velyka Bahachka,13,UA,1569645451,64,49.79,33.72,49.22,7.11
312,Ayna,0,ES,1569645453,82,38.55,-2.07,62.01,3.36
313,Pingliang,0,CN,1569645454,36,35.54,106.68,70.35,7.27
314,Bedesa,74,ET,1569645455,70,8.9,40.78,70.6,8.37
315,Adrar,0,DZ,1569645457,9,27.87,-0.29,82.4,6.93
316,Airai,0,TL,1569645458,47,-8.93,125.41,85.0,6.42
317,Richards Bay,0,ZA,1569645459,71,-28.77,32.06,64.28,15.64
318,Boca do Acre,35,BR,1569645461,61,-8.76,-67.39,75.12,0.76
319,Pangnirtung,90,CA,1569645462,86,66.15,-65.72,41.0,8.05
320,Roccastrada,0,IT,1569645463,87,43.01,11.17,68.0,5.82
321,Saint Anthony,1,US,1569645465,75,43.97,-111.68,53.6,3.36
322,Katherine,0,AU,1569645466,17,-14.47,132.26,98.6,17.22
323,Maracacume,58,BR,1569645376,98,-2.04,-45.96,71.0,2.08
324,Doctor Arroyo,22,MX,1569645469,76,23.67,-100.18,65.63,11.34
325,Ninghai,40,CN,1569645470,57,29.29,121.42,90.0,6.71
326,Petropavlovsk-Kamchatskiy,50,RU,1569645472,35,53.05,158.65,57.2,13.42
327,Lata,30,IN,1569645473,95,30.78,78.62,43.82,7.56
328,Sadiqabad,0,PK,1569645474,34,28.31,70.13,100.3,11.05
329,Kyren,93,RU,1569645476,93,51.68,102.13,37.0,7.67
330,Rusape,0,ZW,1569645477,28,-18.53,32.12,61.42,1.77
331,Constantine,0,DZ,1569645478,82,36.36,6.61,59.0,2.24
332,Flin Flon,62,CA,1569645480,77,54.77,-101.88,29.52,6.22
333,Hovd,40,NO,1569645481,71,63.83,10.7,54.0,12.75
334,Nerchinskiy Zavod,19,RU,1569645482,48,51.31,119.61,52.94,13.67
335,Vanimo,73,PG,1569645484,69,-2.67,141.3,82.62,4.38
336,Kosa,75,JP,1569645485,62,32.67,130.82,87.8,9.17
337,Maniakoi,0,GR,1569645486,67,40.5,21.25,57.8,2.62
338,Kenitra,0,MA,1569645488,93,34.26,-6.57,64.0,3.36
339,Irtyshskiy,100,RU,1569645489,96,58.33,68.13,34.69,4.59
340,Abeche,100,TD,1569645490,61,13.83,20.83,82.82,5.41
341,Yerofey Pavlovich,88,RU,1569645491,61,53.97,121.97,42.54,14.47
342,Alora,0,ZA,1569645493,93,-33.94,18.67,64.0,3.36
343,Maragogi,3,BR,1569645403,96,-9.01,-35.22,67.76,4.03
344,Cabo San Lucas,4,MX,1569645234,75,22.89,-109.91,77.0,5.99
345,Colares,20,PT,1569645496,88,38.8,-9.45,64.0,12.75
346,Warkworth,44,NZ,1569645498,72,-36.4,174.66,60.01,14.99
347,Huarmey,24,PE,1569645499,92,-10.07,-78.15,60.41,12.84
348,Glendive,1,US,1569645400,86,47.11,-104.71,41.0,10.29
349,Abu Samrah,0,SY,1569645502,46,35.3,37.18,73.95,2.95
350,Elko,90,US,1569645254,55,40.83,-115.76,60.8,2.37
351,Voh,11,NC,1569645504,74,-20.95,164.69,72.11,11.86
352,Borogontsy,100,RU,1569645505,75,62.67,131.17,38.97,6.82
353,Touros,20,BR,1569645507,94,-5.2,-35.46,69.8,2.24
354,Cururupu,55,BR,1569645508,87,-1.82,-44.87,76.13,3.38
355,Cabo Rojo,1,PR,1569645509,88,18.09,-67.15,81.0,3.36
356,Kuytun,100,RU,1569645511,56,54.34,101.51,47.9,14.14
357,Auki,4,NG,1569645512,92,12.18,6.51,72.92,9.1
358,Fort Nelson,75,CA,1569645513,85,58.81,-122.69,35.6,3.36
359,Sambava,100,MG,1569645515,92,-14.27,50.17,72.74,2.28
360,Tokmak,76,UA,1569645516,53,47.26,35.7,61.37,2.53
361,Miranda de Ebro,75,ES,1569645517,87,42.69,-2.95,63.0,4.7
362,Barentu,2,ER,1569645519,75,15.11,37.59,74.96,5.41
363,Kharabali,100,RU,1569645520,90,47.41,47.25,51.36,5.17
364,Pespire,75,HN,1569645521,88,13.59,-87.36,68.0,2.24
365,Kamenka,42,MD,1569645523,91,48.03,28.7,44.01,3.06
366,Oshakati,17,NA,1569645524,16,-17.78,15.7,63.89,8.37
367,Comodoro Rivadavia,0,AR,1569645525,27,-45.87,-67.48,62.6,16.11
368,Ulladulla,0,AU,1569645527,34,-35.36,150.48,66.0,10.29
369,Provideniya,100,RU,1569645528,99,64.42,-173.23,41.4,4.79
370,Tadine,69,NC,1569645529,77,-21.55,167.88,72.72,13.29
371,Steinbach,90,CA,1569645531,86,49.53,-96.69,45.0,3.36
372,Egvekinot,100,RU,1569645533,99,66.32,-179.17,35.9,3.53
373,Solvychegodsk,84,RU,1569645534,86,61.33,46.92,38.36,6.55
374,Catumbela,76,AO,1569645535,85,-12.43,13.55,72.27,3.87
